Year,Split,Team,Player
2026,Winter,Cloud9,Thanatos
2026,Winter,Cloud9,Blaber
2026,Winter,Cloud9,APA
2026,Winter,Cloud9,Zven
2026,Winter,Cloud9,Vulcan
2026,Winter,Team Liquid,Morgan
2026,Winter,Team Liquid,Josedeodo
2026,Winter,Team Liquid,Quid
2026,Winter,Team Liquid,Yeon
2026,Winter,Team Liquid,CoreJJ
2026,Winter,Flyquest,Gakgos
2026,Winter,Flyquest,Gryffin
2026,Winter,Flyquest,Quad
2026,Winter,Flyquest,Massu
2026,Winter,Flyquest,Cryogen
2026,Winter,Lyon,Dhokla
2026,Winter,Lyon,Inspired
2026,Winter,Lyon,Saint
2026,Winter,Lyon,Berserker
2026,Winter,Lyon,Isles
2026,Winter,Shopify,Fudge
2026,Winter,Shopify,Contractz
2026,Winter,Shopify,Zinnie
2026,Winter,Shopify,Bvoy
2026,Winter,Shopify,Ceos
2026,Winter,Sentinels,Impact
2026,Winter,Sentinels,Hambak
2026,Winter,Sentinels,Darkwings
2026,Winter,Sentinels,Rahel
2026,Winter,Sentinels,Huhi
2026,Winter,Diguised,Castle
2026,Winter,Diguised,Kryra
2026,Winter,Diguised,Callme
2026,Winter,Diguised,Sajed
2026,Winter,Diguised,Lyonz
2026,Winter,Diguised,Kisno
2026,Winter,Dignitas,Photon
2026,Winter,Dignitas,Exyu
2026,Winter,Dignitas,Palafox
2026,Winter,Dignitas,FBI
2026,Winter,Dignitas,Ignar
2026,Winter,Dignitas,Mobility
2026,Winter,Dignitas,Breezy
2025,Summer,Cloud9,Thanatos
2025,Summer,Cloud9,Blaber
2025,Summer,Cloud9,Loki
2025,Summer,Cloud9,Zven
2025,Summer,Cloud9,Vulcan
2025,Summer,Team Liquid,Impact
2025,Summer,Team Liquid,Yuuji
2025,Summer,Team Liquid,APA
2025,Summer,Team Liquid,Yeon
2025,Summer,Team Liquid,CoreJJ
2025,Summer,Flyquest,Bwipo
2025,Summer,Flyquest,Gakgos
2025,Summer,Flyquest,Inspired
2025,Summer,Flyquest,Quad
2025,Summer,Flyquest,Massu
2025,Summer,Flyquest,Busio
2025,Summer,100 Thieves,Sniper
2025,Summer,100 Thieves,Dhokla
2025,Summer,100 Thieves,River
2025,Summer,100 Thieves,Quid
2025,Summer,100 Thieves,FBI
2025,Summer,100 Thieves,Eyla
2025,Summer,Shopify,Fudge
2025,Summer,Shopify,Contractz
2025,Summer,Shopify,Palafox
2025,Summer,Shopify,Bvoy
2025,Summer,Shopify,Ceos
2025,Summer,Lyon,Srtty
2025,Summer,Lyon,Oddielan
2025,Summer,Lyon,Saint
2025,Summer,Lyon,Hena
2025,Summer,Lyon,Lyonz
2025,Summer,Lyon,Yayo
2025,Summer,Diguised,Castle
2025,Summer,Diguised,Exyu
2025,Summer,Diguised,Darkwings
2025,Summer,Diguised,Rahel
2025,Summer,Diguised,Huhi
2025,Summer,Dignitas,Photon
2025,Summer,Dignitas,Sheiden
2025,Summer,Dignitas,Keine
2025,Summer,Dignitas,Tomo
2025,Summer,Dignitas,Isles
2025,Spring,Dignitas,Srtty
2025,Spring,Dignitas,Sheiden
2025,Spring,Dignitas,Keine
2025,Spring,Dignitas,Tomo
2025,Spring,Dignitas,Isles
2025,Spring,100 Thieves,Sniper
2025,Spring,100 Thieves,River
2025,Spring,100 Thieves,Quid
2025,Spring,100 Thieves,FBI
2025,Spring,100 Thieves,Eyla
2025,Spring,Team Liquid,Impact
2025,Spring,Team Liquid,Umti
2025,Spring,Team Liquid,Yuuji
2025,Spring,Team Liquid,APA
2025,Spring,Team Liquid,Yeon
2025,Spring,Team Liquid,CoreJJ
2025,Spring,Shopify,Fudge
2025,Spring,Shopify,Contractz
2025,Spring,Shopify,Palafox
2025,Spring,Shopify,Bvoy
2025,Spring,Shopify,Ceos
2025,Spring,Cloud9,Thanatos
2025,Spring,Cloud9,Blaber
2025,Spring,Cloud9,Loki
2025,Spring,Cloud9,Zven
2025,Spring,Cloud9,Vulcan
2025,Spring,Flyquest,Bwipo
2025,Spring,Flyquest,Inspired
2025,Spring,Flyquest,Quad
2025,Spring,Flyquest,Massu
2025,Spring,Flyquest,Busio
2025,Spring,Lyon,Licorice
2025,Spring,Lyon,Oddielan
2025,Spring,Lyon,Saint
2025,Spring,Lyon,Hena
2025,Spring,Lyon,Lyonz
2025,Spring,Diguised,Castle
2025,Spring,Diguised,Exyu
2025,Spring,Diguised,Abbedagge
